Cell,lon,lat
Cell303,110.46557,30.348957
Cell304,110.535934,30.670135
Cell305,110.541664,29.866226
Cell306,110.55597,30.087717
Cell307,110.66273,30.181501
Cell308,110.73997,33.01415
Cell309,110.84317,32.807255
Cell310,110.910355,30.21847
Cell311,110.92946,30.246895
Cell312,110.962204,30.520676
Cell313,111.051575,30.682655
Cell314,111.072266,30.142307
Cell315,111.20492,30.222181
Cell316,111.33893,30.835075
Cell317,111.41209,30.414766
Cell318,111.424706,30.393333
Cell319,111.42778,30.419643
Cell320,111.434784,30.395205
Cell321,111.45585,30.366854
Cell322,111.46208,30.376091
Cell323,111.475006,30.136002
Cell324,111.484985,32.516354
Cell325,111.48548,29.993681
Cell326,111.49223,30.31401
Cell327,111.494158,30.290428
Cell328,111.499565,30.301664
Cell329,111.50291,30.294317
Cell330,111.50769,30.282282
Cell331,111.5085,30.277403
Cell332,111.509834,30.269081
Cell333,111.50986,30.269102
Cell334,111.51676,30.287369
Cell335,111.52512,30.827183
Cell336,111.54565,30.678673
Cell337,111.55923,30.245066
Cell338,111.568756,30.451113
Cell339,111.58563,32.27888
Cell340,111.586494,30.522749
Cell341,111.58864,29.957487
Cell342,111.61455,32.303593
Cell343,111.623955,30.393597
Cell344,111.626366,32.392372
Cell345,111.63315,30.368822
Cell346,111.640526,30.373825
Cell347,111.663445,30.700937
Cell348,111.667564,30.13351
Cell349,111.68953,32.350037
Cell350,111.71551,32.36015
Cell351,111.72493,32.295403
Cell352,111.741974,32.311882
Cell353,111.742165,30.764866
Cell354,111.74643,30.48438
Cell355,111.74646,30.484377
Cell356,111.7484,32.14413
Cell357,111.7503,31.169271
Cell358,111.75337,30.168753
Cell359,111.760284,30.016567
Cell360,111.7631,30.808071
Cell361,111.76409,30.823862
Cell362,111.76881,30.842741
Cell363,111.774284,30.821127
Cell364,111.78055,30.807245
Cell365,111.78119,30.842728
Cell366,111.7823,30.825205
Cell367,111.78429,30.832691
Cell368,111.79401,30.186756
Cell369,111.794304,30.568771
Cell370,111.79895,30.822018
Cell371,111.804634,30.82933
Cell372,111.80752,32.135384
Cell373,111.807976,29.915161
Cell374,111.80813,30.205643
Cell375,111.81147,32.12568
Cell376,111.81185,30.810516
Cell377,111.81684,32.164013
Cell378,111.82344,30.801584
Cell379,111.823975,30.808962
Cell380,111.82578,32.52262
Cell381,111.82692,32.094734
Cell382,111.833855,30.615309
Cell383,111.834236,31.773851
Cell384,111.83688,30.564157
Cell385,111.83862,32.045506
Cell386,111.83958,31.787416
Cell387,111.84049,32.521515
Cell388,111.841153,30.816703
Cell389,111.844826,31.762012
Cell390,111.86922,32.355827
Cell391,111.87004,31.726017
Cell392,111.87638,31.71578
Cell393,111.89263,32.3663
Cell394,111.894424,30.772848
Cell395,111.90129,30.296265
Cell396,111.90618,30.717064
Cell397,111.912384,30.752016
Cell398,111.92531,29.891785
Cell399,111.92537,29.891706
Cell400,111.9255,31.693352
Cell401,111.92738,30.175749
Cell402,111.93731,30.65413
Cell403,111.956665,30.465242
Cell404,111.95901,31.711306
Cell405,111.960266,30.675808
Cell406,111.96663,32.10163
Cell407,108.71815,30.266687
Cell408,108.72198,30.033287
Cell409,108.74908,30.386658
Cell410,108.83395,30.300674
Cell411,108.91934,30.288689
Cell412,108.92149,30.301636
Cell413,108.92172,30.294912
Cell414,108.94243,30.296265
Cell415,108.94785,30.289494
Cell416,108.94828,30.299372
Cell417,109.00292,30.275671
Cell418,109.247894,29.155998
Cell419,109.329414,29.573471
Cell420,109.34271,29.406443
Cell421,109.35168,29.415798
Cell422,109.401985,29.555262
Cell423,109.40587,29.495556
Cell424,109.56557,29.695307
Cell425,109.56721,30.579414
Cell426,109.70232,30.597782
Cell427,109.710686,30.600065
Cell428,109.716545,30.591646
Cell429,109.86505,33.126396
Cell430,109.940735,30.010622
Cell431,109.96981,32.17995
Cell432,110.02927,29.893606
Cell433,110.43872,33.009697
Cell434,110.484,30.307955
Cell435,110.75372,32.80313
Cell436,110.77567,32.64631
Cell437,110.811,32.840332
Cell438,110.96587,30.5051
Cell439,111.05303,30.223175
Cell440,111.08349,30.324654
Cell441,111.12344,30.432434
Cell442,111.23181,30.101246
Cell443,111.254084,32.13208
Cell444,111.254084,32.272821
Cell445,111.254084,32.294829
Cell446,111.26146,30.307896
Cell447,111.26433,30.45783
Cell448,111.33802,30.620487
Cell449,111.346535,30.482647
Cell450,111.40347,30.31781
Cell451,111.411934,29.958916
Cell452,111.412,29.958954
Cell453,111.41795,30.399275
Cell454,111.41796,29.932522
Cell455,111.44375,30.364067
Cell456,111.45026,30.361904
Cell457,111.455,30.390322
Cell458,111.462234,30.371258
Cell459,111.465507,32.292326
Cell460,111.478197,30.321525
Cell461,111.49904,30.298124
Cell462,111.499565,30.30167
Cell463,111.535126,30.244982
Cell464,111.539345,30.293688
Cell465,111.53936,30.293713
Cell466,111.56495,30.254673
Cell467,111.577675,30.329943
Cell468,111.602135,30.522642
Cell469,111.60533,32.26754
Cell470,111.608795,30.529764
Cell471,111.609215,32.376194
Cell472,111.62332,30.370913
Cell473,111.62397,30.393587
Cell474,111.63501,30.435436
Cell475,111.6392,30.394707
Cell476,111.63959,30.380894
Cell477,111.64338,32.575127
Cell478,111.65689,32.273094
Cell479,111.6635,30.701002
Cell480,111.67359,32.405334
Cell481,111.68245,32.397484
Cell482,111.68444,32.38942
Cell483,111.6867,30.449102
Cell484,111.69601,31.622559
Cell485,111.702385,30.906275
Cell486,111.70748,30.45647
Cell487,111.71127,32.235714
Cell488,111.734436,30.169182
Cell489,111.744644,30.795036
Cell490,111.746506,30.49187
Cell491,111.74954,30.472048
Cell492,111.76183,30.157341
Cell493,111.76499,30.452536
Cell494,111.76578,30.442802
Cell495,111.76746,30.425653
Cell496,111.770233,30.476677
Cell497,111.775536,30.814615
Cell498,111.78213,30.812647
Cell499,111.785255,30.166571
Cell500,111.78911,30.205042
Cell501,111.80559,30.843336
Cell502,111.81925,31.75132
Cell503,111.821266,32.133354
Cell504,111.821594,32.158493
Cell505,111.824455,31.767042
Cell506,111.82584,30.858871
Cell507,111.82938,31.7885
Cell508,111.83067,30.824284
Cell509,111.83632,31.781271
Cell510,111.83654,30.836342
Cell511,111.84049,32.52152
Cell512,111.84081,30.78251
Cell513,111.8416,30.826675
Cell514,111.841606,30.826653
Cell515,111.847275,30.797039
Cell516,111.855774,31.759857
Cell517,111.866486,30.531597
Cell518,111.86924,32.355827
Cell519,111.880455,31.708153
Cell520,111.88572,32.361286
Cell521,111.88975,30.254059
Cell522,111.89153,31.791658
Cell523,111.89161,31.791674
Cell524,111.90345,31.779587
Cell525,111.90347,31.779612
Cell526,111.90645,30.707273
Cell527,111.91094,31.704369
Cell528,111.92396,31.783636
Cell529,111.92547,31.693344
Cell530,111.92574,32.438282
Cell531,111.94426,32.440556
Cell532,111.956665,30.465244
Cell533,111.958984,32.10646
Cell534,111.95938,30.01637
Cell535,111.96301,30.688122
Cell536,111.96587,31.717873
Cell537,111.97471,30.553835
Cell538,111.98473,32.039276
Cell539,112.00566,30.4895
Cell540,112.00566,30.48956
Cell541,112.01065,32.018436
Cell542,112.012985,32.10363
Cell543,108.699524,30.273058
Cell544,108.7184,30.47937
Cell545,108.72015,30.042124
Cell546,108.83396,30.300694
Cell547,108.89811,30.242537
Cell548,108.90039,30.284052
Cell549,108.91539,30.296223
Cell550,108.9268,30.29994
Cell551,108.934983,30.281565
Cell552,108.937225,30.300533
Cell553,108.942428,30.28831
Cell554,108.96965,30.277306
Cell555,109.06239,29.977293
Cell556,109.179085,29.444181
Cell557,109.22545,29.208202
Cell558,109.25267,29.548862
Cell559,109.25344,29.431892
Cell560,109.30098,29.619438
Cell561,109.32473,29.304308
Cell562,109.39726,29.48785
Cell563,109.399025,29.479609
Cell564,109.40404,29.519356
Cell565,109.404175,29.50074
Cell566,109.40593,29.495537
Cell567,109.418655,29.528925
Cell568,109.42392,29.524096
Cell569,109.425674,29.49715
Cell570,109.43447,30.170715
Cell571,109.44303,30.015617
Cell572,109.68982,30.599533
Cell573,109.91211,29.831451
Cell574,109.91213,29.831469
Cell575,109.95897,30.220345
Cell576,110.005745,30.4386
Cell577,110.246025,30.81319
Cell578,110.414566,29.824442
Cell579,110.442487,30.049185
Cell580,110.484,30.307957
Cell581,110.66271,30.18152
Cell582,110.66689,30.189686
Cell583,110.75198,31.227102
Cell584,110.79536,32.807304
Cell585,111.01996,32.395596
Cell586,111.05159,30.682665
Cell587,111.05161,30.682661
Cell588,111.06494,30.6618
Cell589,111.066765,30.148552
Cell590,111.23182,30.101265
Cell591,111.23996,30.512745
Cell592,111.24125,30.627743
Cell593,111.254084,32.281753
Cell594,111.30416,30.687523
Cell595,111.32172,30.790293
Cell596,111.33804,30.620466
Cell597,111.38729,30.44964
Cell598,111.41677,30.390245
Cell599,111.42786,30.4197
Cell600,111.43079,30.399223
Cell601,111.436874,30.373238
Cell602,111.43953,30.368044
Cell603,111.44679,30.38117
Cell604,111.45727,30.38812
Cell605,111.459625,30.392817
Cell606,111.46029,30.357267
Cell607,111.46981,30.370205
Cell608,111.47572,30.056978
Cell609,111.4818,30.310356
Cell610,111.49942,30.301653
Cell611,111.512375,30.430668
Cell612,111.52834,30.269152
Cell613,111.53516,30.244986
Cell614,111.54256,32.194553
Cell615,111.545654,30.67867
Cell616,111.58135,30.489113
Cell617,111.58481,29.962322
Cell618,111.59323,32.286297
Cell619,111.59518,29.967585
Cell620,111.596924,30.637224
Cell621,111.598724,30.652565
Cell622,111.614586,29.980373
Cell623,111.61664,30.365452
Cell624,111.61724,32.476444
Cell625,111.6187,32.283127
Cell626,111.62047,32.265408
Cell627,111.62741,30.360792
Cell628,111.63057,32.401596
Cell629,111.63396,30.400877
Cell630,111.63955,30.380804
Cell631,111.63959,30.380892
Cell632,111.660545,32.4637
Cell633,111.67509,32.426735
Cell634,111.691734,32.33578
Cell635,111.71545,32.360188
Cell636,111.72516,29.976698
Cell637,111.729164,32.28399
Cell638,111.73118,32.23187
Cell639,111.73283,32.523914
Cell640,111.738655,32.286156
Cell641,111.746506,30.491842
Cell642,111.74837,32.144135
Cell643,111.75697,30.486961
Cell644,111.76184,30.187769
Cell645,111.76416,30.198757
Cell646,111.77076,30.176222
Cell647,111.77096,29.987898
Cell648,111.775185,30.198137
Cell649,111.776306,30.158587
Cell650,111.77882,30.191017
Cell651,111.78044,30.424408
Cell652,111.78087,32.160103
Cell653,111.789955,30.810734
Cell654,111.800887,30.837943
Cell655,111.81147,32.125687
Cell656,111.821365,31.781075
Cell657,111.830666,30.824263
Cell658,111.83238,32.52579
Cell659,111.83473,31.79275
