p,x,y,j,c
460-00-574630-64,111.360291,30.649811,C10,1
460-00-457775-3,111.278811,30.697561,C10,1
460-00-574667-64,111.355408,30.656672,C10,1
460-00-457816-3,111.28352,30.69428,C10,1
460-00-571385-87,111.34531,30.76219,C10,1
460-00-910825-129,111.34392,30.79379,C10,1
460-00-575070-64,111.34273,30.79188,C10,1
460-00-574891-64,111.36054,30.80903,C10,1
460-00-575005-66,111.304079,30.68755,C10,1
460-00-911179-164,111.317375,30.726124,C10,1
460-00-122252-71,111.31951,30.674822,C10,1
460-00-122086-66,111.359367,30.643698,C10,1
460-00-122072-64,111.285736,30.696173,C10,1
460-00-458693-4,111.285277,30.708888,C10,1
460-00-575034-64,111.332417,30.711722,C10,1
460-00-300620-130,111.35913,30.80029,C10,1
460-00-911008-129,111.30918,30.70324,C10,1
460-00-457990-1,111.35864,30.64692,C10,1
460-00-911176-131,111.305504,30.724201,C10,1
460-00-574669-65,111.345901,30.739118,C10,1
460-00-458693-7,111.285277,30.708888,C10,1
460-00-301095-129,111.36385,30.79511,C10,1
460-00-457800-2,111.356641,30.645771,C10,1
460-00-570744-68,111.33445,30.67648,C10,1
460-00-574893-65,111.348236,30.79426,C10,1
460-00-642746-2,111.301119,30.701826,C10,1
460-00-457657-7,111.28403,30.708937,C10,1
460-00-457946-3,111.364321,30.652731,C10,1
460-00-574690-66,111.305527,30.729601,C10,1
460-00-457786-7,111.28991,30.69271,C10,1
460-00-575011-65,111.360906,30.646232,C10,1
460-00-457915-2,111.35238,30.646073,C10,1
460-00-457798-1,111.359375,30.643604,C10,1
460-00-719722-66,111.36353,30.800997,C10,1
460-00-122086-65,111.359367,30.643698,C10,1
460-00-574744-64,111.349754,30.78079,C10,1
460-00-301623-129,111.36072,30.79095,C10,1
460-00-720010-66,111.338307,30.756878,C10,1
460-00-574930-65,111.279914,30.712659,C10,1
460-00-574645-66,111.366272,30.64423,C10,1
460-00-719721-65,111.36104,30.797358,C10,1
460-00-575064-66,111.299786,30.686829,C10,1
460-00-719959-70,111.353956,30.64781,C10,1
460-00-571385-90,111.34531,30.76219,C10,1
460-00-457798-3,111.35937,30.643602,C10,1
460-00-571385-94,111.34531,30.76219,C10,1
460-00-301095-131,111.36385,30.79511,C10,1
460-00-719788-71,111.320984,30.671337,C10,1
460-00-642601-4,111.302151,30.682594,C10,1
460-00-574639-72,111.32524,30.671053,C10,1
460-00-122063-65,111.36121,30.661648,C10,1
460-00-458646-4,111.285808,30.707823,C10,1
460-00-574510-64,111.302017,30.754826,C10,1
460-00-570796-69,111.30267,30.68477,C10,1
460-00-574878-64,111.36194,30.783326,C10,1
460-00-570696-65,111.349601,30.642212,C10,1
460-00-712350-193,112.23414,30.356754,C11,1
460-00-350965-66,112.24891,30.30103,C11,1
460-00-712214-193,112.246138,30.330103,C11,1
460-00-712570-194,112.23522,30.329536,C11,1
460-00-712350-192,112.23418,30.356867,C11,1
460-00-712255-192,112.24491,30.33237,C11,1
460-00-712214-192,112.246138,30.330103,C11,1
460-00-712215-192,112.231674,30.353231,C11,1
460-00-712315-192,112.25343,30.306107,C11,1
460-00-691193-193,112.24575,30.306404,C11,1
460-00-712304-194,112.23351,30.354898,C11,1
460-00-168038-69,112.24631,30.31079,C11,1
460-00-712304-192,112.23355,30.354877,C11,1
460-00-712230-192,112.24627,30.310762,C11,1
460-00-712254-194,112.25716,30.307035,C11,1
460-00-186132-65,114.247414,30.587068,C12,1
460-00-438549-21,114.13765,30.640991,C12,1
460-00-438852-1,114.25144,30.61041,C12,1
460-00-185675-66,114.282419,30.585831,C12,1
460-00-438424-3,114.28841,30.58083,C12,1
460-00-36042-194,114.33562,30.71701,C12,1
460-00-438602-1,114.32137,30.64091,C12,1
460-00-439602-1,114.15636,30.48849,C12,1
460-00-438854-3,114.27849,30.55895,C12,1
460-00-439603-2,114.21838,30.55926,C12,1
460-00-438320-1,114.29669,30.58898,C12,1
460-00-185231-65,114.26657,30.550327,C12,1
460-00-443419-5,114.28372,30.57716,C12,1
460-00-442662-2,114.24289,30.600859,C12,1
460-00-305097-131,114.205118,30.563726,C12,1
460-00-439479-3,114.18027,30.46473,C12,1
460-00-439853-1,114.32757,30.63781,C12,1
460-00-438510-2,114.200524,30.571787,C12,1
